Date,Open,High,Low,Close,Adj Close,Volume,
2005-01-03,66.919998,67.800003,66.150002,66.290001,66.290001,3506500,
2005-01-04,66.839996,67.410004,64.290001,64.760002,64.760002,3888500,-0.010141172
2005-01-05,64.910004,65.480003,63.82,64.839996,64.839996,3587400,0.000536126
2005-01-06,64.879997,65.870003,64.449997,65.190002,65.190002,2963900,0.002338015
2005-01-07,66.230003,66.699997,65.349998,66.089996,66.089996,3257100,0.005954731
2005-01-10,65.699997,67.540001,65.699997,66.82,66.82,4390300,0.004770746
2005-01-11,66.120003,66.650002,65.559998,65.800003,65.800003,2902400,-0.006680558
2005-01-12,65.959999,67.110001,65.93,67.110001,67.110001,3410200,0.008561332
2005-01-13,66.93,67.110001,64.760002,64.870003,64.870003,3595600,-0.014743327
2005-01-14,64.949997,66.669998,64.620003,66.580002,66.580002,3151300,0.011299886
2005-01-18,65.970001,68.389999,65.940002,67.800003,67.800003,3872100,0.007885909
2005-01-19,67.629997,68.190002,66.809998,66.93,66.93,2905000,-0.005608888
2005-01-20,66.93,67.82,64.650002,64.830002,64.830002,6126000,-0.01384479
2005-01-21,65,65.540001,64.169998,64.830002,64.830002,5277800,0
2005-01-24,64.949997,64.949997,61.759998,63,63,4911600,-0.012435486
2005-01-25,63.400002,64.339996,62.32,63.080002,63.080002,3215000,0.000551149
2005-01-26,63.330002,64.309998,63,63.470001,63.470001,3666300,0.002676807
2005-01-27,63.529999,64.720001,62.939999,63.689999,63.689999,3854200,0.001502737
2005-01-28,63.400002,63.709999,61.27,62.200001,62.200001,4686900,-0.01028085
2005-01-31,63.5,65.349998,63.34,64.959999,64.959999,4170300,0.018855618
2005-02-01,64.779999,65.349998,64.209999,64.720001,64.720001,2307800,-0.001607494
2005-02-02,65.080002,65.900002,64.529999,65.5,65.5,2931900,0.005202785
2005-02-03,65.709999,65.900002,64.760002,65.18,65.18,1992200,-0.002126944
2005-02-04,64.870003,66.989998,64.870003,66.949997,66.949997,3565200,0.011636206
2005-02-07,67,67.010002,65.75,66.150002,66.150002,3391400,-0.0052207
2005-02-08,67.629997,67.699997,65.760002,66.230003,66.230003,4683800,0.000524913
2005-02-09,66.510002,66.809998,65.019997,65.029999,65.029999,3369100,-0.007941027
2005-02-10,65.230003,66.099998,64.989998,65.919998,65.919998,2518500,0.005903438
2005-02-11,65.989998,67.309998,65.449997,66.699997,66.699997,2947600,0.005108629
2005-02-14,66.599998,67.080002,66.400002,66.989998,66.989998,1833700,0.00188415
2005-02-15,67,68,66.300003,67.040001,67.040001,2800000,0.000324047
2005-02-16,66.849998,67.5,66.260002,67.290001,67.290001,1869500,0.001616523
2005-02-17,68.699997,70,67.5,67.57,67.57,7394900,0.001803384
2005-02-18,67.550003,67.599998,66.849998,66.970001,66.970001,2611000,-0.003873614
2005-02-22,67.059998,67.5,65.330002,65.339996,65.339996,3047400,-0.010701202
2005-02-23,65.730003,66.07,65.089996,65.580002,65.580002,1702400,0.001592322
2005-02-24,65.089996,66.769997,64.129997,66.68,66.68,3896200,0.007224166
2005-02-25,66.449997,67.389999,66.040001,67.279999,67.279999,1977500,0.003890385
