Date,Open,High,Low,Close,Adj Close,Volume,
2005-01-03,3.679167,3.679167,3.541667,3.575833,2.98362,3068000,
2005-01-04,3.59,3.614167,3.520833,3.5225,2.93912,2637600,-0.006526226
2005-01-05,3.5225,3.554167,3.469167,3.479167,2.902962,2861600,-0.005375726
2005-01-06,3.48,3.625833,3.479167,3.528333,2.943987,2306400,0.006094291
2005-01-07,3.5375,3.5375,3.429167,3.4725,2.897401,2918400,-0.006927312
2005-01-10,3.501667,3.570833,3.489167,3.504167,2.923822,2825600,0.003942541
2005-01-11,3.504167,3.5375,3.4575,3.513333,2.93147,1675200,0.00113452
2005-01-12,3.513333,3.566667,3.465,3.563333,2.97319,2248800,0.006137095
2005-01-13,3.576667,3.606667,3.540833,3.5625,2.972495,1901600,-0.000101537
2005-01-14,3.570833,3.6225,3.540833,3.600833,3.004479,1335200,0.004648107
2005-01-18,3.633333,3.71,3.633333,3.706667,3.092786,2589600,0.012580592
2005-01-19,3.7,3.731667,3.619167,3.633333,3.031597,2880000,-0.008678368
2005-01-20,3.616667,3.663333,3.5375,3.640833,3.037855,1790400,0.000895556
2005-01-21,3.6575,3.776667,3.655833,3.711667,3.096957,3063200,0.008368247
2005-01-24,3.75,3.780833,3.741667,3.75,3.128942,1848800,0.004462262
2005-01-25,3.779167,3.85,3.726667,3.775,3.149802,3262400,0.002885688
2005-01-26,3.781667,3.8775,3.76,3.8775,3.235325,2400800,0.011634851
2005-01-27,3.8775,3.974167,3.861667,3.911667,3.263834,2350400,0.00381007
2005-01-28,3.895,3.908333,3.8225,3.8375,3.20195,1732800,-0.008313488
2005-01-31,3.838333,3.98,3.801667,3.923333,3.273568,2846400,0.009606783
2005-02-01,3.966667,4.120833,3.966667,4.1,3.420976,4479200,0.019128685
2005-02-02,4.100833,4.19,4.09,4.166667,3.476602,3852000,0.007004936
2005-02-03,4.15,4.1675,4.059166,4.136667,3.48507,2707200,-0.003138231
2005-02-04,4.145,4.170833,4.085,4.170833,3.513854,2196000,0.003572239
2005-02-07,4.154167,4.195833,4.064167,4.104167,3.457688,2124800,-0.006997777
2005-02-08,4.0875,4.168334,4.076667,4.105,3.458391,1911200,8.81374E-05
2005-02-09,4.105,4.2175,4.078333,4.149167,3.4956,4241600,0.004647754
2005-02-10,4.16,4.384167,4.155,4.283333,3.608633,5105600,0.013820924
2005-02-11,4.283333,4.386667,4.1775,4.3525,3.666905,2832800,0.006956941
2005-02-14,4.3525,4.390833,4.329167,4.375,3.68586,2656800,0.002239278
2005-02-15,4.375,4.383333,4.305,4.334167,3.651459,3173600,-0.004072416
2005-02-16,4.343333,4.44,4.3175,4.404167,3.710433,3645600,0.006958137
2005-02-17,4.4125,4.433333,4.305,4.3075,3.628994,2894400,-0.009638492
2005-02-18,4.404167,4.483333,4.333333,4.420833,3.724475,4322400,0.011278823
2005-02-22,4.541667,4.574167,4.431667,4.438334,3.739219,4042400,0.001715872
2005-02-23,4.445833,4.565,4.445833,4.511667,3.801001,3495200,0.007117056
2005-02-24,4.516667,4.56,4.45,4.503334,3.79398,3900000,-0.000802879
2005-02-25,4.524167,4.681667,4.524167,4.648334,3.916139,2433600,0.013763168
2005-02-28,4.708333,4.888333,4.545,4.665833,3.930884,3631200,0.001631864
2005-03-01,4.665833,4.7075,4.5625,4.633333,3.903504,3807200,-0.003035676
2005-03-02,4.638333,4.708333,4.5875,4.645,3.913333,5119200,0.001092204
2005-03-03,4.6875,4.728333,4.6375,4.691667,3.952646,5686400,0.004341461
2005-03-04,4.7025,4.7625,4.625834,4.755,4.006005,4236800,0.005823342
2005-03-07,4.755,4.755,4.666667,4.700833,3.960371,4240800,-0.004975698
2005-03-08,4.7125,4.800833,4.710834,4.725,3.980729,2702400,0.00222699
2005-03-09,4.733333,4.825,4.6475,4.6525,3.919651,4714400,-0.006715431
2005-03-10,4.6525,4.6525,4.341667,4.414166,3.718858,6403200,-0.022837721
2005-03-11,4.413333,4.5025,4.408333,4.471667,3.7673,4564800,0.005620793
2005-03-14,4.471667,4.508333,4.329167,4.416667,3.720963,4181600,-0.005374798
