Date,Open,High,Low,Close,Adj Close,Volume,
2005-01-03,23.639999,23.790001,23.049999,23.07,15.043293,64246900,
2005-01-04,23.190001,23.209999,22.35,22.610001,14.743341,93729100,-0.008747013
2005-01-05,22.469999,22.780001,22.370001,22.389999,14.599882,73848800,-0.004246507
2005-01-06,22.58,22.73,22.41,22.459999,14.645529,63440900,0.001355658
2005-01-07,22.73,22.93,22.469999,22.799999,14.867229,82523000,0.006525095
2005-01-10,22.91,23.02,22.75,22.879999,14.919401,65393900,0.001521173
2005-01-11,22.709999,22.780001,22.4,22.540001,14.697697,114083400,-0.00650207
2005-01-12,23.219999,23.33,22.870001,23.16,15.101976,143219700,0.011784624
2005-01-13,23.110001,23.209999,22.75,22.82,14.880269,73856600,-0.006422915
2005-01-14,22.959999,23.129999,22.9,23.02,15.010688,65148200,0.003789679
2005-01-18,22.870001,22.950001,22.639999,22.940001,14.958527,63728200,-0.001511887
2005-01-19,22.959999,22.969999,22.549999,22.6,14.736814,71776900,-0.006484993
2005-01-20,22.52,22.83,22.4,22.58,14.723776,68547100,-0.000384502
2005-01-21,22.58,22.709999,22.379999,22.42,14.619449,80971200,-0.003088329
2005-01-24,22.49,22.540001,21.889999,21.99,14.339056,83759500,-0.008410379
2005-01-25,22.219999,22.540001,22.17,22.26,14.515119,94826800,0.005299931
2005-01-26,22.49,22.59,22.299999,22.42,14.619449,69891500,0.003110448
2005-01-27,22.379999,22.52,22.17,22.309999,14.547716,78986900,-0.002136057
2005-01-28,22.35,22.57,22.08,22.24,14.50207,76572300,-0.001364768
2005-01-31,22.450001,22.549999,22.27,22.450001,14.63901,60540400,0.004081582
2005-02-01,22.49,22.75,22.389999,22.629999,14.756382,67031800,0.00346817
2005-02-02,22.66,22.76,22.5,22.58,14.723776,73565400,-0.000960597
2005-02-03,22.49,22.639999,22.17,22.379999,14.645254,60735900,-0.003863875
2005-02-04,22.379999,23.02,22.370001,23,15.050975,67594800,0.011867773
2005-02-07,22.93,23.18,22.879999,22.91,14.992075,53757300,-0.001702747
2005-02-08,22.950001,23.5,22.93,23.41,15.319271,85233700,0.009376325
2005-02-09,23.42,23.48,23.16,23.299999,15.247285,69909500,-0.002045511
2005-02-10,23.440001,23.59,23.219999,23.5,15.37817,74162700,0.00371196
2005-02-11,23.23,24.34,23.18,24.17,15.816611,101956900,0.012208788
2005-02-14,24.040001,24.389999,24,24.309999,15.908223,59197400,0.002508291
2005-02-15,24.190001,24.629999,24.16,24.469999,16.012922,80599700,0.002849011
2005-02-16,24.309999,24.4,24.129999,24.139999,15.796974,85307400,-0.005896704
2005-02-17,24.200001,24.32,23.549999,23.629999,15.46324,80239800,-0.009273545
2005-02-18,23.67,24.08,23.639999,24.02,15.718449,58126700,0.0071093
2005-02-22,23.77,24.41,23.639999,23.76,15.548312,80059700,-0.004726567
2005-02-23,23.92,23.93,23.049999,23.309999,15.253833,92071900,-0.008304181
2005-02-24,23.309999,23.719999,23.15,23.700001,15.50905,78619300,0.007206109
2005-02-25,23.66,24.120001,23.57,24.09,15.764265,73552200,0.007088436
2005-02-28,24.16,24.49,23.860001,23.99,15.698814,78925000,-0.001806552
2005-03-01,24.360001,24.76,24.33,24.620001,16.111088,84308400,0.011257818
2005-03-02,24.4,24.799999,24.35,24.52,16.04565,78910100,-0.0017676
2005-03-03,24.5,24.6,24.23,24.5,16.032553,85790700,-0.000354381
2005-03-04,24.700001,25.01,24.49,24.68,16.150345,66040200,0.003179071
2005-03-07,24.68,25.469999,24.549999,25.110001,16.431736,88515000,0.007501575
2005-03-08,24.969999,25.43,24.780001,24.799999,16.228878,55791600,-0.005395067
2005-03-09,24.870001,25.23,24.75,24.84,16.255054,64168700,0.000699928
2005-03-10,24.93,25.120001,24.34,24.85,16.261595,81906000,0.000174802
2005-03-11,25.059999,25.1,24,24.200001,15.836243,114213100,-0.011511009
2005-03-14,24.25,24.43,24.110001,24.27,15.882051,45827400,0.001254392
2005-03-15,24.35,24.42,23.83,23.879999,15.626832,47097500,-0.007035472
2005-03-16,23.559999,24.040001,23.51,23.540001,15.404347,59791000,-0.006227827
2005-03-17,23.51,23.67,23.35,23.41,15.319271,49047800,-0.002405063
2005-03-18,23.610001,23.66,23.370001,23.41,15.319271,62777800,0
2005-03-21,23.459999,23.66,23.25,23.5,15.37817,39608900,0.001666449
2005-03-22,23.57,23.66,23,23.02,15.06406,49092300,-0.008962543
2005-03-23,23.02,23.51,22.959999,23.389999,15.306185,54286400,0.006924884
2005-03-24,23.52,23.610001,23.18,23.18,15.168761,34664000,-0.003916772
2005-03-28,23.34,23.65,23.27,23.299999,15.247285,42922000,0.002242471
2005-03-29,23.34,23.4,23.049999,23.15,15.149133,53920200,-0.002804907
2005-03-30,23.280001,23.540001,23,23.49,15.371618,62360100,0.006332021
2005-03-31,23.51,23.540001,23.129999,23.23,15.201481,41543800,-0.004833807
2005-04-01,23.34,23.440001,22.9,23.01,15.057517,68253800,-0.004132591
2005-04-04,23.1,23.110001,22.65,22.93,15.005171,60426700,-0.001512564
2005-04-05,23,23.25,22.969999,23.129999,15.136045,48086400,0.003771559
2005-04-06,23.209999,23.309999,23,23.049999,15.083693,53942200,-0.001504703
2005-04-07,23.02,23.42,23.02,23.41,15.319271,53264800,0.006730503
2005-04-08,23.379999,23.700001,23.25,23.290001,15.240743,45961000,-0.002231907
2005-04-11,23.299999,23.34,23.049999,23.120001,15.129503,41972300,-0.003181659
2005-04-12,23.120001,23.25,22.639999,23.219999,15.194933,84545900,0.001874348
2005-04-13,23.139999,23.18,22.700001,22.82,14.933186,54061100,-0.007546557
2005-04-14,22.74,22.799999,22.469999,22.49,14.717234,68014000,-0.006326185
2005-04-15,22.219999,22.5,21.940001,22.120001,14.475106,92484400,-0.007204313
2005-04-18,22.23,22.49,22.1,22.209999,14.534002,53761600,0.001763397
2005-04-19,22.51,22.690001,22.299999,22.629999,14.808848,83774200,0.008135996
2005-04-20,23.4,23.440001,22.629999,22.66,14.828482,110176600,0.000575371
2005-04-21,22.98,23.389999,22.93,23.360001,15.286562,87063100,0.013212952
2005-04-22,23.27,23.309999,23.059999,23.24,15.208027,65435600,-0.002236733
