Date,Open,High,Low,Close,Adj Close,Volume,Neg. log return
1999-06-29,47.0625,47.875,46.8125,47.875,28.97093,2020600,
1999-06-30,47.625,48.875,47.125,48.5,29.34915,1559200,-0.005633091
1999-07-01,47,48.1875,46.9375,48.0625,29.084391,1232100,0.003935553
1999-07-02,47.8125,48.8125,47.1875,48.25,29.197861,617900,-0.001691062
1999-07-06,48.25,49.4375,47.875,49.1875,29.765179,705200,-0.008357462
1999-07-07,49.375,50.5,49.0625,50.375,30.483776,1140500,-0.010360263
1999-07-08,50,50.375,49.5,49.875,30.18119,1506300,0.004332402
1999-07-09,50.25,50.375,49.3125,49.5,29.954275,474800,0.003277547
1999-07-12,48.5,49.375,48,49.375,29.878624,927500,0.00109822
1999-07-13,49.125,49.3125,48.4375,48.5625,29.386951,484200,0.007206064
1999-07-14,48.375,48.75,47.1875,48.6875,29.462606,1105000,-0.001116629
1999-07-15,48.9375,48.9375,47.8125,48.25,29.197861,780300,0.003920121
1999-07-16,48.4375,49.125,48,48.875,29.576084,761000,-0.005589634
1999-07-19,48,48.5625,47.875,48.125,29.12219,663600,0.00671664
1999-07-20,48.1875,48.3125,47.8125,48.125,29.12219,956800,0
1999-07-21,48.125,49,47.8125,48.5,29.34915,723700,-0.003371497
1999-07-22,48.375,48.4375,47.6875,48.0625,29.084391,1172800,0.003935553
1999-07-23,48,48,46,46.4375,28.101053,1047400,0.01493738
1999-07-26,45.5,46.9375,45.5,46.6875,28.252327,1281400,-0.00233163
1999-07-27,46.75,48.5625,46.75,48.4375,29.311325,1091000,-0.015981227
1999-07-28,48.1875,49.5,48.0625,49.375,29.878624,862700,-0.008325142
1999-07-29,48.125,48.375,47.125,47.875,28.97093,761700,0.013398156
1999-07-30,47.875,48.5,46.4375,46.4375,28.101053,716700,0.013239843
1999-08-02,46.4375,46.5,45.1875,45.4375,27.495913,605900,0.009454449
1999-08-03,45.375,45.6875,43.5625,43.875,26.550392,978700,0.015197207
1999-08-04,44,44.75,43.3125,43.625,26.399101,854500,0.0024818
1999-08-05,43.5,43.75,42.0625,42.5,25.718319,878500,0.011346559
1999-08-06,42.25,42.375,41.625,42.3125,25.604853,768900,0.001920292
1999-08-09,42.5,42.5,41.625,42.25,25.567032,1215800,0.000641972
1999-08-10,42.25,44.375,41.5,43.6875,26.436924,2047400,-0.014530608
1999-08-11,44.25,45,43.9375,44,26.626022,750300,-0.003095364
1999-08-12,43.9375,44.75,43.4375,44.3125,26.815125,803800,-0.003073539
1999-08-13,44.25,46.5625,44.0625,46.5625,28.176689,723800,-0.021510133
1999-08-16,46.4375,46.6875,46.0625,46.6875,28.252327,592000,-0.001164266
1999-08-17,47,47,45.25,45.875,27.760662,768000,0.007624406
1999-08-18,46.125,46.5625,45.5,46.3125,28.02541,348000,-0.004122156
1999-08-19,46.0625,46.0625,44.5625,45.375,27.458078,639900,0.00888184
1999-08-20,46,47.5,45.75,47,28.441437,761700,-0.015281401
1999-08-23,46.625,48.375,46.625,48.375,29.273495,969400,-0.012523041
1999-08-24,48,48.625,47.5,48.4375,29.311325,648900,-0.000560874
1999-08-25,48.25,48.5,46.625,48.125,29.12219,1219600,0.00281142
1999-08-26,47.875,47.875,46,46,27.836285,639100,0.019612757
1999-08-27,46,46.25,44.75,45.875,27.815081,991500,0.000330945
1999-08-30,45.625,45.875,44.25,44.25,26.829803,962400,0.015662845
1999-08-31,44.125,45,43.625,44.6875,27.095072,1187900,-0.004272826
1999-09-01,44.5,44.75,44,44.3125,26.867683,572000,0.003660094
1999-09-02,44.375,44.375,42.1875,42.9375,26.033989,1125700,0.013689499
1999-09-03,43.25,44.5625,43,44.125,26.754009,1004600,-0.011848152
1999-09-07,44.375,44.625,44,44,26.678221,1049800,0.001232003
1999-09-08,43.875,44,43.1875,43.375,26.299273,804600,0.006213123
1999-09-09,43.25,43.375,42.25,42.9375,26.033989,640700,0.004403026
1999-09-10,42.9375,43.25,41.5,41.6875,25.276108,1464600,0.012830515
1999-09-13,42.0625,42.0625,40.625,40.875,24.783461,1384900,0.008548247
1999-09-14,40.625,42.9375,40.625,42.0625,25.503471,927300,-0.012437336
1999-09-15,42.25,43,40.5625,40.8125,24.745552,1214600,0.013102145
1999-09-16,41.5,42.625,40,42.4375,25.730837,2402100,-0.016956768
1999-09-17,43.3125,46,43.0625,45.5,27.587696,2346400,-0.030261518
1999-09-20,45.5625,45.9375,44.75,45.625,27.663481,1741100,-0.001191396
