Date,Open,High,Low,Close,Adj Close,Volume,Neg. log return
1995-02-24,5.09375,5.21875,5.03125,5.125,5.125,6236400,
1995-02-27,5.15625,5.40625,5.15625,5.34375,5.34375,7538400,-0.018152262
1995-02-28,5.3125,5.4375,5.1875,5.40625,5.40625,3380800,-0.005049993
1995-03-01,5.375,5.75,5.34375,5.59375,5.59375,4790400,-0.014806928
1995-03-02,5.53125,5.5625,5.40625,5.5,5.5,3606400,0.007340363
1995-03-03,5.4375,5.5,5.40625,5.5,5.5,3386400,0
1995-03-06,5.5,5.5,5.4375,5.5,5.5,1824800,0
1995-03-07,5.4375,5.46875,5.3125,5.375,5.375,2735200,0.009984221
1995-03-08,5.4375,5.5,5.21875,5.5,5.5,1660400,-0.009984221
1995-03-09,5.46875,5.46875,5.3125,5.46875,5.46875,1571600,0.002474619
1995-03-10,5.5,5.6875,5.5,5.65625,5.65625,3932800,-0.014640526
1995-03-13,5.625,5.65625,5.5625,5.65625,5.65625,1262000,0
1995-03-14,5.6875,5.9375,5.6875,5.9375,5.9375,2035600,-0.021075026
1995-03-15,5.9375,6.1875,5.9375,6.15625,6.15625,3489600,-0.015712625
1995-03-16,6.125,6.1875,6.0625,6.125,6.125,2826000,0.002210155
1995-03-17,6.125,6.125,6,6.0625,6.0625,2758800,0.004454341
1995-03-20,6.03125,6.09375,6,6.0625,6.0625,1243200,0
1995-03-21,6.125,6.28125,6.0625,6.1875,6.1875,2352800,-0.00886346
1995-03-22,6.1875,6.25,6.15625,6.21875,6.21875,1401200,-0.002187886
1995-03-23,6.1875,6.34375,6.15625,6.34375,6.34375,4037200,-0.008642962
1995-03-24,6.34375,6.4375,6.3125,6.375,6.375,2610400,-0.00213413
1995-03-27,6.34375,6.53125,6.3125,6.53125,6.53125,2321200,-0.010516119
1995-03-28,6.5,6.59375,6.375,6.46875,6.46875,1970000,0.004175941
1995-03-29,6.46875,6.5,6.34375,6.34375,6.34375,2391600,0.008474308
1995-03-30,6.34375,6.375,6.15625,6.21875,6.21875,2684400,0.008642962
1995-03-31,6.15625,6.15625,5.9375,6.15625,6.15625,5808800,0.00438685
1995-04-03,6.1875,6.34375,6.15625,6.3125,6.3125,2276400,-0.010885143
1995-04-04,6.34375,6.4375,6.28125,6.4375,6.4375,1496000,-0.008515851
1995-04-05,6.375,6.96875,6.375,6.90625,6.90625,4793200,-0.030525053
1995-04-06,7.03125,7.21875,7,7,7,5490000,-0.005855745
1995-04-07,7.03125,7.03125,6.625,6.71875,6.71875,2470400,0.017809558
1995-04-10,6.625,6.875,6.625,6.875,6.875,1927200,-0.009984221
1995-04-11,6.875,6.90625,6.71875,6.84375,6.84375,3732000,0.001978566
1995-04-12,6.8125,6.875,6.6875,6.8125,6.8125,1948800,0.001987621
1995-04-13,6.84375,6.9375,6.78125,6.90625,6.90625,1567600,-0.00593578
1995-04-17,6.96875,7,6.875,6.9375,6.9375,1874000,-0.001960701
1995-04-18,6.875,6.96875,6.8125,6.90625,6.90625,1340400,0.001960701
1995-04-19,6.90625,6.90625,6.1875,6.71875,6.71875,3645600,0.011953814
1995-04-20,6.5625,6.78125,6.34375,6.59375,6.59375,2193200,0.008156005
1995-04-21,6.78125,6.78125,6.59375,6.59375,6.59375,1706400,0
1995-04-24,6.625,6.71875,6.5625,6.65625,6.65625,1359600,-0.004097148
1995-04-25,6.65625,6.71875,6.46875,6.5,6.5,2762400,0.010316268
1995-04-26,6.5,6.6875,6.4375,6.5625,6.5625,1416000,-0.00415596
1995-04-27,6.5625,6.6875,6.5625,6.6875,6.6875,974800,-0.008194479
1995-04-28,6.71875,6.875,6.65625,6.8125,6.8125,1957200,-0.00804272
1995-05-01,6.78125,6.78125,6.65625,6.78125,6.78125,1210400,0.00199676
1995-05-02,6.8125,7.3125,6.8125,7.09375,7.09375,4980000,-0.019566123
1995-05-03,7.1875,7.1875,7,7.125,7.125,3418800,-0.00190899
1995-05-04,7.0625,7.15625,7,7.125,7.125,1982000,0
1995-05-05,7.09375,7.09375,6.71875,6.8125,6.8125,2748000,0.019478353
1995-05-08,6.875,6.9375,6.84375,6.9375,6.9375,1505600,-0.007896481
1995-05-09,6.96875,7,6.90625,6.9375,6.9375,1602000,0
1995-05-10,6.96875,7.09375,6.9375,7.09375,7.09375,2290400,-0.009672883
1995-05-11,7.125,7.15625,6.96875,7,7,1420800,0.005777839
1995-05-12,7,7.0625,6.90625,6.9375,6.9375,1431600,0.003895044
1995-05-15,6.9375,6.9375,6.84375,6.90625,6.90625,1322800,0.001960701
1995-05-16,6.90625,7.03125,6.90625,6.96875,6.96875,1401600,-0.003912589
1995-05-17,7,7,6.78125,6.8125,6.8125,790000,0.009848369
1995-05-18,6.78125,6.875,6.46875,6.46875,6.46875,1763600,0.022486148
1995-05-19,6.40625,6.53125,6.375,6.5,6.5,3326400,-0.00209299
1995-05-22,6.5,6.71875,6.5,6.65625,6.65625,875600,-0.010316268
1995-05-23,6.65625,6.8125,6.65625,6.8125,6.8125,1187600,-0.01007689
1995-05-24,6.8125,6.9375,6.78125,6.875,6.875,2333200,-0.003966187
1995-05-25,6.84375,6.9375,6.71875,6.78125,6.78125,1202800,0.005962947
1995-05-26,6.8125,6.9375,6.78125,6.9375,6.9375,812400,-0.009893241
1995-05-30,6.875,6.96875,6.84375,6.90625,6.90625,1109200,0.001960701
1995-05-31,6.9375,7.25,6.90625,7.1875,7.1875,2588400,-0.017335562
1995-06-01,7.1875,7.1875,7.03125,7.0625,7.0625,1210400,0.007619397
1995-06-02,7.03125,7.125,6.96875,7,7,677600,0.003860421
1995-06-05,7.125,7.15625,7,7.09375,7.09375,934000,-0.005777839
1995-06-06,7.125,7.4375,7.09375,7.09375,7.09375,1537600,0
1995-06-07,7.09375,7.15625,7,7.09375,7.09375,516800,0
1995-06-08,7.125,7.125,7.03125,7.03125,7.03125,1123200,0.003843339
1995-06-09,7.0625,7.09375,7,7.09375,7.09375,607600,-0.003843339
1995-06-12,7.125,7.25,7.125,7.21875,7.21875,1570000,-0.007586123
1995-06-13,7.375,7.46875,7.3125,7.4375,7.4375,2348800,-0.012964977
1995-06-14,7.46875,7.5,7.3125,7.5,7.5,1261600,-0.003634285
1995-06-15,7.46875,7.59375,7.375,7.59375,7.59375,2203200,-0.005395032
1995-06-16,7.75,7.84375,7.625,7.8125,7.8125,2721200,-0.012333735
1995-06-19,7.84375,8,7.78125,8,8,1594400,-0.010299957
1995-06-20,8,8.09375,7.90625,8.0625,8.0625,944000,-0.003379741
1995-06-21,8.125,8.1875,8.09375,8.1875,8.1875,1437200,-0.006681585
1995-06-22,8.125,8.3125,8.0625,8.1875,8.1875,1691600,0
1995-06-23,8.21875,8.25,8.125,8.15625,8.15625,1655200,0.001660784
1995-06-26,8.125,8.15625,7.75,7.75,7.75,1338400,0.022188827
1995-06-27,7.75,7.875,7.71875,7.8125,7.8125,1729600,-0.003488328
1995-06-28,7.875,8,7.75,8,8,1264400,-0.010299957
1995-06-29,8.03125,8.125,7.9375,7.9375,7.9375,1436000,0.003406249
1995-06-30,7.9375,7.96875,7.6875,7.96875,7.96875,1408800,-0.001706464
1995-07-03,7.96875,8.03125,7.875,7.96875,7.96875,436800,0
1995-07-05,7.96875,8.03125,7.875,7.9375,7.9375,901600,0.001706464
1995-07-06,8,8.25,8,8.25,8.25,1990400,-0.01677021
1995-07-07,8.25,8.25,7.9375,8.09375,8.09375,1358400,0.008304163
1995-07-10,8.0625,8.0625,7.625,7.625,7.625,1223600,0.025909938
1995-07-11,7.71875,8.21875,7.71875,8.21875,8.21875,2225200,-0.032565922
1995-07-12,8.21875,8.3125,8.15625,8.15625,8.15625,1665200,0.003315241
1995-07-13,8.15625,8.15625,8.03125,8.09375,8.09375,1136000,0.003340743
1995-07-14,8,8.3125,8,8.28125,8.28125,1238000,-0.00994611
1995-07-17,8.28125,8.28125,8.15625,8.25,8.25,1002400,0.001641947
1995-07-18,8.1875,8.1875,8,8.09375,8.09375,1045200,0.008304163
1995-07-19,8.03125,8.0625,7.75,7.8125,7.8125,3436800,0.015359755
1995-07-20,7.875,8.15625,7.8125,8.15625,8.15625,1931200,-0.018700499
1995-07-21,8.15625,8.4375,8.15625,8.28125,8.28125,2121600,-0.006605367
1995-07-24,8.3125,8.46875,8.3125,8.375,8.375,1600000,-0.00488892
1995-07-25,8.5,8.75,8.40625,8.75,8.75,2162800,-0.019023237
1995-07-26,8.71875,8.75,8.59375,8.75,8.75,1972800,0
1995-07-27,8.8125,9.375,8.65625,9.375,9.375,1258800,-0.029963223
1995-07-28,9.34375,9.34375,8.96875,8.96875,8.96875,1564800,0.019239358
1995-07-31,9,9.1875,8.875,9.125,9.125,1466800,-0.007500955
1995-08-01,9,9.046875,8.96875,9.03125,9.03125,622400,0.004485009
1995-08-02,9.125,9.25,9.125,9.25,9.25,1226000,-0.010393868
1995-08-03,9.1875,9.21875,9.09375,9.1875,9.1875,966400,0.002944381
1995-08-04,9.25,9.34375,9.25,9.28125,9.28125,442800,-0.004409119
1995-08-07,9.25,9.25,9.1875,9.25,9.25,972000,0.001464738
1995-08-08,9.25,9.46875,9.25,9.4375,9.4375,927200,-0.008715232
1995-08-09,9.375,9.5,9.375,9.5,9.5,1157600,-0.002866641
1995-08-10,9.5625,9.875,9.5625,9.6875,9.6875,1586800,-0.00848811
1995-08-11,9.6875,9.75,9.46875,9.53125,9.53125,1141600,0.007061854
1995-08-14,9.59375,9.75,9.40625,9.75,9.75,1028400,-0.009854755
1995-08-15,9.75,9.8125,9.4375,9.5,9.5,808400,0.01128101
1995-08-16,9.5,9.625,9.4375,9.59375,9.59375,420400,-0.004264792
1995-08-17,9.59375,9.75,9.5,9.75,9.75,1060800,-0.007016219
1995-08-18,9.75,9.8125,9.65625,9.65625,9.65625,681200,0.004196115
1995-08-21,9.6875,9.71875,9.4375,9.4375,9.4375,649600,0.009951536
1995-08-22,9.4375,9.4375,9.21875,9.28125,9.28125,992400,0.007250494
1995-08-23,9.28125,9.59375,9.28125,9.5,9.5,917600,-0.010117134
1995-08-24,9.5625,9.8125,9.53125,9.78125,9.78125,575600,-0.012670754
1995-08-25,9.71875,9.75,9.625,9.6875,9.6875,560400,0.004182644
1995-08-28,9.6875,9.71875,9.59375,9.71875,9.71875,741600,-0.001398695
1995-08-29,9.75,9.75,9.5,9.75,9.75,460000,-0.001394205
1995-08-30,9.9375,10.15625,9.8125,9.96875,9.96875,6189200,-0.009636089
1995-08-31,9.96875,9.96875,9.90625,9.9375,9.9375,1356800,0.001363563
1995-09-01,9.9375,9.96875,9.90625,9.96875,9.96875,601200,-0.001363563
1995-09-05,9.90625,9.96875,9.90625,9.96875,9.96875,694000,0
1995-09-06,9.96875,10.03125,9.90625,9.9375,9.9375,849200,0.001363563
1995-09-07,9.90625,9.96875,9.875,9.96875,9.96875,665200,-0.001363563
1995-09-08,9.9375,9.96875,9.8125,9.90625,9.90625,629200,0.002731421
1995-09-11,9.90625,10,9.875,9.875,9.875,747200,0.00137218
1995-09-12,9.90625,9.90625,9.75,9.75,9.75,844800,0.005532489
1995-09-13,9.78125,9.96875,9.71875,9.9375,9.9375,686400,-0.008272526
1995-09-14,9.9375,10.125,9.875,10.125,10.125,1625600,-0.00811789
1995-09-15,10.46875,10.46875,10.25,10.34375,10.34375,2554800,-0.009282984
1995-09-18,10.3125,10.34375,10.21875,10.34375,10.34375,1073600,0
1995-09-19,10.375,10.59375,10.375,10.53125,10.53125,1331600,-0.007801907
