Date,Open,High,Low,Close,Adj Close,Volume,Neg. log return
1986-08-28,0,0.388889,0.347222,0.347222,0.130044,175200,
1986-08-29,0,0.388889,0.361111,0.361111,0.135246,235600,-0.01703411
1986-09-02,0,0.375,0.347222,0.347222,0.130044,77200,0.01703411
1986-09-03,0,0.361111,0.347222,0.347222,0.130044,43200,0
1986-09-04,0,0.361111,0.347222,0.347222,0.130044,169600,0
1986-09-05,0,0.361111,0.347222,0.347222,0.130044,54000,0
1986-09-08,0,0.361111,0.347222,0.347222,0.130044,18000,0
1986-09-09,0,0.361111,0.347222,0.347222,0.130044,34800,0
1986-09-10,0,0.361111,0.347222,0.347222,0.130044,16000,0
1986-09-11,0,0.361111,0.347222,0.347222,0.130044,43200,0
1986-09-12,0,0.361111,0.347222,0.347222,0.130044,98800,0
1986-09-15,0,0.357639,0.347222,0.347222,0.130044,62800,0
1986-09-16,0,0.375,0.347222,0.347222,0.130044,37600,0
1986-09-17,0,0.375,0.347222,0.347222,0.130044,6000,0
1986-09-18,0,0.375,0.347222,0.347222,0.130044,26800,0
1986-09-19,0,0.375,0.347222,0.347222,0.130044,25600,0
1986-09-22,0,0.375,0.347222,0.347222,0.130044,412800,0
1986-09-23,0,0.375,0.347222,0.347222,0.130044,26800,0
1986-09-24,0,0.375,0.347222,0.347222,0.130044,43600,0
1986-09-25,0,0.368056,0.361111,0.361111,0.135246,103200,-0.01703411
1986-09-26,0,0.381944,0.361111,0.361111,0.135246,98800,0
1986-09-29,0,0.326389,0.319444,0.319444,0.119641,60000,0.053244395
1986-09-30,0,0.291667,0.277778,0.277778,0.104035,133200,0.060700563
1986-10-01,0,0.3125,0.270833,0.270833,0.101434,218400,0.010995919
1986-10-02,0,0.305556,0.263889,0.263889,0.098834,28800,0.01127718
1986-10-03,0,0.277778,0.263889,0.263889,0.098834,16000,0
1986-10-06,0,0.256944,0.222222,0.222222,0.083228,169200,0.074636914
1986-10-07,0,0.263889,0.229167,0.229167,0.085829,27600,-0.013364594
1986-10-08,0,0.263889,0.222222,0.222222,0.083228,5200,0.013364594
1986-10-09,0,0.222222,0.194444,0.194444,0.072825,8800,0.057988965
1986-10-10,0,0.194444,0.180556,0.180556,0.067623,49200,0.03218606
1986-10-13,0,0.236111,0.208333,0.208333,0.078026,26800,-0.06214491
1986-10-14,0,0.25,0.236111,0.236111,0.08843,20400,-0.054360282
1986-10-15,0.236111,0.236111,0.236111,0.236111,0.08843,0,0
