Date,Open,High,Low,Close,Adj Close,Volume,Neg. log return
1980-01-02,1.828125,1.828125,1.75,1.75,0.87837,3796800,
1980-01-03,1.75,1.778646,1.71875,1.757813,0.882291,3134400,-0.001934355
1980-01-04,1.757813,1.768229,1.757813,1.768229,0.887519,1195200,-0.00256581
1980-01-07,1.768229,1.809896,1.757813,1.789063,0.897976,2068800,-0.00508707
1980-01-08,1.809896,2,1.809896,1.989583,0.998623,5414400,-0.046136835
1980-01-09,1.989583,2.018229,1.947917,1.958333,0.982937,8956800,0.006875881
1980-01-10,1.958333,1.958333,1.919271,1.947917,0.977709,7910400,0.00231607
1980-01-11,1.947917,1.958333,1.929688,1.947917,0.977709,3369600,0
1980-01-14,1.947917,1.96875,1.929688,1.940104,0.973787,1924800,0.001745641
1980-01-15,1.940104,1.958333,1.929688,1.958333,0.982937,2241600,-0.004061711
1980-01-16,1.96875,2.049479,1.96875,2.028646,1.018229,17121600,-0.015319779
1980-01-17,2.028646,2.049479,2.018229,2.039063,1.023457,4281600,-0.002224139
1980-01-18,2.039063,2.049479,2.007813,2.018229,1.013002,5856000,0.004459298
1980-01-21,2.018229,2.028646,2.007813,2.007813,1.007772,2644800,0.002248015
1980-01-22,2.007813,2.028646,1.989583,1.989583,0.998623,3240000,0.003960723
1980-01-23,1.989583,2.007813,1.989583,2,1.003851,4027200,-0.002267692
1980-01-24,2.007813,2.067708,2.007813,2.018229,1.013002,3350400,-0.003941047
1980-01-25,2.018229,2.088542,2.007813,2.049479,1.028686,1617600,-0.006672527
1980-01-28,2.049479,2.169271,2.049479,2.148438,1.078356,5827200,-0.02047933
1980-01-29,2.148438,2.179688,2.127604,2.138021,1.073128,3355200,0.002110632
1980-01-30,2.138021,2.229167,2.138021,2.229167,1.118876,8232000,-0.018130432
1980-01-31,2.229167,2.239583,2.119792,2.119792,1.063977,8467200,0.021849718
1980-02-01,2.119792,2.179688,2.119792,2.169271,1.088812,8198400,-0.010020659
1980-02-04,2.169271,2.169271,2.119792,2.119792,1.063977,2208000,0.010020659
1980-02-05,2.119792,2.148438,2.109375,2.148438,1.078356,2462400,-0.005829919
1980-02-06,2.148438,2.148438,2.088542,2.138021,1.073128,2755200,0.002110632
1980-02-07,2.138021,2.158854,2.127604,2.138021,1.073128,1771200,0
1980-02-08,2.138021,2.158854,2.127604,2.138021,1.073128,1862400,0
1980-02-11,2.138021,2.138021,2.098958,2.109375,1.058749,1305600,0.005858513
1980-02-12,2.119792,2.21875,2.119792,2.21875,1.113647,3715200,-0.021954538
1980-02-13,2.21875,2.257813,2.21875,2.229167,1.118876,4219200,-0.002034407
1980-02-14,2.229167,2.25,2.148438,2.148438,1.078356,3825600,0.016019799
1980-02-15,2.148438,2.158854,2.127604,2.127604,1.067899,2611200,0.004231979
1980-02-19,2.127604,2.127604,2.098958,2.109375,1.058749,2520000,0.003737167
