"","V1","V2","V3"
"1","44.9671224755512","spec-5328-55982-0218.fits","906"
"2","45.2506369915973","spec-5324-55947-0886.fits","828"
"3","46.3816687637374","spec-1353-53083-0579.fits","520"
"4","48.5867131365544","spec-2557-54178-0009.fits","274"
"5","49.3283026036158","spec-5301-55987-0190.fits","235"
"6","49.3295873796713","spec-2118-53820-0538.fits","1278"
"7","49.7538909772128","spec-7235-56603-0338.fits","213"
"8","50.1444790797697","spec-2188-54595-0112.fits","1094"
"9","50.4407718910503","spec-1081-52531-0173.fits","1146"
"10","50.6424758797524","spec-2382-54169-0116.fits","296"
"11","50.6661019136256","spec-7089-56661-0076.fits","62"
"12","50.9260829891103","spec-1788-54468-0050.fits","1115"
"13","50.9690973519843","spec-6064-56097-0818.fits","1326"
"14","51.0088093175773","spec-7255-56597-0896.fits","525"
"15","52.1282819287177","spec-1054-52516-0291.fits","1496"
"16","52.5722497115423","spec-2161-53878-0604.fits","1266"
"17","53.0234444351273","spec-5015-55707-0294.fits","215"
"18","53.1425549267541","spec-6439-56358-0432.fits","70"
"19","54.3714021069533","spec-3808-55513-0602.fits","44"
"20","54.8713662816989","spec-1229-52723-0306.fits","1563"
"21","55.0158668216516","spec-0991-52707-0359.fits","1244"
"22","55.2422072920999","spec-1105-52937-0368.fits","1462"
"23","55.908990775703","spec-5454-56015-0641.fits","368"
"24","56.0601099780003","spec-0995-52731-0137.fits","1284"
"25","56.1726703949069","spec-2359-53826-0199.fits","384"
"26","56.2507448214084","spec-6512-56567-0742.fits","2063"
"27","56.5156152282112","spec-1311-52765-0413.fits","68"
"28","56.8053192079354","spec-6053-56091-0724.fits","2276"
"29","57.0050821672477","spec-2422-54096-0519.fits","1655"
"30","57.065125373822","spec-2620-54339-0453.fits","1660"
"31","57.065125373822","spec-2634-54110-0244.fits","1660"
"32","57.065125373822","spec-2913-54526-0229.fits","1660"
"33","57.0807228134573","spec-4176-55682-0865.fits","1967"
"34","57.298963100793","spec-1232-52731-0467.fits","215"
"35","57.4501624579513","spec-2124-53770-0113.fits","166"
"36","57.6017346268635","spec-5331-55976-0504.fits","361"
"37","57.7247262842047","spec-1672-53460-0251.fits","936"
"38","57.7802010200248","spec-0509-52374-0631.fits","1414"
"39","58.0311614943183","spec-5451-56010-0798.fits","1570"
"40","58.055407326698","spec-6049-56091-0278.fits","362"
"41","58.2455695846342","spec-6466-56310-0992.fits","1971"
"42","58.6008380025814","spec-1997-53442-0041.fits","454"
"43","58.9474490969803","spec-1568-53169-0578.fits","951"
"44","58.9726146671214","spec-1382-53115-0469.fits","1127"
"45","59.0840733350845","spec-1959-53440-0382.fits","378"
"46","59.3327418460996","spec-4242-55476-0780.fits","396"
"47","59.6721601175963","spec-1626-53472-0286.fits","1645"
"48","59.7479875614116","spec-1026-52558-0067.fits","209"
"49","59.8884110666139","spec-5027-56218-0605.fits","1781"
